签到详情统计,,,,,,,,,,,,,,,,
课程：机器学习    班级：24级人工智能技术应用2班    任课教师：佘**  导出时间：2025年,,,,,,,,,,,,,,,,
姓名,学号/工号,院系,专业,行政班级,二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年),二维码签到(2025年)
,,,,,状态,状态,状态,状态,状态,状态,状态,状态,状态,状态,状态,状态
学生1,学号1,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,教师代签,已签,已签,已签,已签,已签,已签,已签
学生2,学号2,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生3,学号3,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生4,学号4,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生5,学号5,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生6,学号6,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,未参与,已签,已签,公假,已签,已签,已签
学生7,学号7,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,教师代签,已签,已签,已签,已签,已签
学生8,学号8,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生9,学号9,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生10,学号10,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,病假,已签,已签,已签,已签
学生11,学号11,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,病假,已签,已签,已签,已签,已签,已签,已签,已签
学生12,学号12,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签,已签
学生13,学号13,智慧健康产业学院,人工智能技术应用,24级人工智能技术应用2班,已签,已签,事假,已签,已签,已签,已签,已签,已签,已签,事假,已签
