公司,事业部,员工ID,姓名,出行方式,任务审核状态
公司_0,事业部_2,5869,姓名_1103,公共交通,已完成
公司_0,事业部_2,6321,姓名_1104,公共交通,已完成
公司_0,事业部_2,6708,姓名_1105,公共交通,已完成
公司_0,事业部_6,8508,姓名_1106,电动车,已完成
公司_0,事业部_0,11126,姓名_0,电动车,已完成
公司_0,事业部_1,11562,姓名_1,电动车,待审核
公司_0,事业部_12,206381,姓名_871,电动车,已完成
公司_0,事业部_6,206590,姓名_872,电动车,已完成
公司_0,事业部_2,207801,姓名_873,电动车,已完成
公司_0,事业部_9,208029,姓名_874,电动车,已完成
公司_0,事业部_2,209738,姓名_875,公共交通,已完成
公司_0,事业部_1,210808,姓名_877,电动车,已完成
公司_0,事业部_12,211989,姓名_878,电动车,已完成
公司_0,事业部_4,211995,姓名_431,电动车,已完成
公司_0,事业部_1,212810,姓名_879,电动车,已完成
公司_0,事业部_3,212822,姓名_880,电动车,已完成
公司_0,事业部_12,213019,姓名_881,电动车,已完成
公司_0,事业部_8,213037,姓名_882,公共交通,已完成
公司_0,事业部_9,213062,姓名_883,电动车,已完成
公司_0,事业部_4,213719,姓名_884,电动车,已完成
公司_0,事业部_4,214561,姓名_885,电动车,已完成
公司_0,事业部_7,214605,姓名_886,公共交通,已完成
公司_0,事业部_10,214610,姓名_887,电动车,已完成
公司_0,事业部_4,214814,姓名_888,电动车,已完成
公司_0,事业部_11,214859,姓名_890,公共交通,已完成
公司_0,事业部_2,215175,姓名_893,电动车,已完成
公司_0,事业部_8,215201,姓名_894,公共交通,未提交
公司_0,事业部_10,215218,姓名_895,电动车,已完成
公司_0,事业部_6,215306,姓名_896,电动车,已完成
公司_0,事业部_11,215497,姓名_897,电动车,已完成
公司_0,事业部_11,215726,姓名_898,公共交通,已完成
公司_0,事业部_1,215731,姓名_899,电动车,已完成
公司_0,事业部_3,216159,姓名_901,电动车,已完成
公司_0,事业部_9,216192,姓名_902,电动车,已完成
公司_0,事业部_9,216288,姓名_903,公共交通,已完成
公司_0,事业部_4,216486,姓名_904,电动车,已完成
公司_0,事业部_6,216538,姓名_905,电动车,已完成
公司_0,事业部_7,217086,姓名_906,摩托车,已完成
公司_0,事业部_4,218819,姓名_907,电动车,已完成
公司_0,事业部_9,219732,姓名_908,电动车,已完成
公司_0,事业部_4,219862,姓名_909,电动车,已完成
公司_0,事业部_5,220187,姓名_910,公共交通,已完成
公司_0,事业部_9,220969,姓名_911,电动车,已完成
公司_0,事业部_6,221290,姓名_629,电动车,已完成
公司_0,事业部_9,221391,姓名_512,电动车,已完成
公司_0,事业部_12,221399,姓名_914,电动车,已完成
公司_0,事业部_7,221627,姓名_916,电动车,已完成
公司_0,事业部_3,222899,姓名_917,电动车,已完成
公司_0,事业部_4,222946,姓名_918,电动车,已完成
公司_0,事业部_2,223589,姓名_920,公共交通,已完成
公司_0,事业部_6,224170,姓名_921,电动车,已完成
公司_0,事业部_1,224497,姓名_922,电动车,已完成
公司_0,事业部_11,225792,姓名_923,电动车,已完成
公司_0,事业部_2,226936,姓名_924,公共交通,已完成
公司_0,事业部_2,227188,姓名_925,汽车,已完成
公司_0,事业部_4,228146,姓名_926,电动车,已完成
公司_0,事业部_6,228591,姓名_927,电动车,已完成
公司_0,事业部_2,228966,姓名_928,电动车,已完成
公司_0,事业部_7,241962,姓名_929,电动车,已完成
公司_0,事业部_11,242134,姓名_184,电动车,已完成
公司_0,事业部_9,242339,姓名_930,电动车,待审核
公司_0,事业部_10,243518,姓名_931,电动车,已完成
公司_0,事业部_7,244445,姓名_933,摩托车,已完成
公司_0,事业部_11,244758,姓名_935,公共交通,已完成
公司_0,事业部_1,244822,姓名_936,电动车,已完成
公司_0,事业部_11,244878,姓名_937,电动车,已完成
公司_0,事业部_11,244885,姓名_938,电动车,已完成
公司_0,事业部_11,244925,姓名_939,公共交通,已完成
公司_0,事业部_4,245030,姓名_940,电动车,已完成
公司_0,事业部_9,245098,姓名_941,电动车,已完成
公司_0,事业部_3,245919,姓名_943,电动车,已完成
公司_0,事业部_3,245929,姓名_944,电动车,已完成
公司_0,事业部_9,246300,姓名_945,电动车,已完成
公司_0,事业部_3,246862,姓名_946,电动车,已完成
公司_0,事业部_5,247449,姓名_947,电动车,已完成
公司_0,事业部_2,247900,姓名_949,公共交通,已完成
公司_0,事业部_0,248257,姓名_950,电动车,已完成
公司_0,事业部_9,249499,姓名_952,电动车,已完成
公司_0,事业部_9,249971,姓名_953,电动车,已完成
公司_0,事业部_5,250044,姓名_954,电动车,已完成
公司_0,事业部_9,252007,姓名_957,电动车,已完成
公司_0,事业部_1,252283,姓名_959,电动车,已完成
公司_0,事业部_9,253430,姓名_960,电动车,已完成
公司_0,事业部_1,261177,姓名_961,电动车,已完成
公司_0,事业部_7,262930,姓名_962,汽车,已完成
