认购明细ID,用户手机号,上级手机号,代理账户,产品类型,产品名称,认购金额,周期-天,结束时间,收益率,产品状态,真实姓名,身份证号码,认购编号,认购时间
2022,13800000285,13800000286,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 16:49:56,1.90,认购中,方*,340823********1568,9AH1TRHLCQP9857QZY,2025-10-14 16:49:56
2021,13800000287,13800000288,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 16:35:15,1.90,认购中,方*,350481********6515,304JCTXEUPYWNTCEJP,2025-10-14 16:35:15
2020,13800000204,13800000249,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 16:20:41,1.90,认购中,胡**,510521********4382,BL31T44GLN0NHBZ5YM,2025-10-14 16:20:41
2019,13800000277,13800000289,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 16:19:48,1.90,认购中,王**,130628********1052,6K7821NWJYZJ6YS5DS,2025-10-14 16:19:48
2018,13800000289,13800000290,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 16:14:52,1.90,认购中,杨**,130628********1086,XCD33HCGZN0ZABLPWL,2025-10-14 16:14:52
2014,13800000020,13800000021,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 15:08:10,1.90,认购中,彭**,512930********4181,22VUB7GWM1WU642P06,2025-10-14 15:08:10
2013,13800000053,13800000288,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 14:18:23,1.90,认购中,彭**,350420********0076,J9X2E9V50P16DJV422,2025-10-14 14:18:23
2011,13800000291,13800000053,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 14:08:53,1.90,认购中,陈**,350420********0020,F0ZNLFPNJSSTW7VP5Z,2025-10-14 14:08:53
2010,13800000292,13800000053,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 14:00:02,1.90,认购中,彭**,350481********6543,83Q6X24PWYSSL8B668,2025-10-14 14:00:02
2009,13800000293,13800000294,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.50,360,2026-10-09 13:25:43,1.90,认购中,陈**,430202********6047,UUVM6NA1DUT2U675W0,2025-10-14 13:25:43
2008,13800000295,13800000294,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.85,360,2026-10-09 13:13:55,1.90,认购中,冯**,522322********1643,1UK0J0G0T0NBK4E68Z,2025-10-14 13:13:55
2006,13800000296,13800000297,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-09 10:42:06,1.90,认购中,王**,511028********1623,L2BN5GBJCXKPVL5ST1,2025-10-14 10:42:06
1986,13800000288,13800000086,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 19:46:11,1.90,认购中,吴**,350420********0107,45FP8HX5TZSF90ULD2,2025-10-13 19:46:11
1984,13800000266,13800000235,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 17:32:43,1.90,认购中,郇**,370725********2399,Q7W93EML1XEZFYM5J5,2025-10-13 17:32:43
1983,13800000298,13800000023,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 16:44:08,1.90,认购中,稂**,362401********2835,H2GMFQAW3X3J69NJVS,2025-10-13 16:44:08
1981,13800000132,13800000043,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 16:18:03,1.90,认购中,何**,650300********2426,US7MK45RLDNTUF36W3,2025-10-13 16:18:03
1975,13800000299,13800000255,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 15:27:47,1.90,认购中,李**,342923********6029,04L7GNDB5VAQ7U265M,2025-10-13 15:27:47
1973,13800000300,13800000106,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 15:03:48,1.90,认购中,柳**,659001********0627,E9HVDQEFZ2Q91KCMN7,2025-10-13 15:03:48
1964,13800000301,13800000302,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 13:42:23,1.90,认购中,朱**,341126********7713,Y70BP1SDP47MKZN82D,2025-10-13 13:42:23
1963,13800000303,13800000106,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 13:40:29,1.90,认购中,陈**,650300********0618,8TDAWWLRDZTPU5ZN46,2025-10-13 13:40:29
1961,13800000304,13800000072,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 13:23:04,1.90,认购中,于**,412829********7250,SJH9KVVZSSSE5SK0S7,2025-10-13 13:23:04
1955,13800000305,13800000306,18888888803,2,B01.建设数字健康管理与医养数据平台,1000.00,360,2026-10-08 10:47:05,1.90,认购中,屈**,512221********2982,RKRJXBTBC6174AJ28R,2025-10-13 10:47:05
