认购明细ID,用户手机号,上级手机号,代理账户,产品类型,产品名称,认购金额,周期-天,结束时间,收益率,产品状态,真实姓名,认购编号,认购时间
2866,13800000427,13800000214,18888888803,6,D01.健康中国2030·养老红利特别国债计划,997.00,0,2025-11-03 00:36:25,0.00,认购中,栗**,6832MPCPB7NM06MTEQ,2025-11-03 00:36:25
2719,13800000167,13800000080,18888888803,6,D01.健康中国2030·养老红利特别国债计划,660.00,0,2025-10-31 02:14:21,0.00,认购中,李**,3347YQHB0S6PN9555Q,2025-10-31 02:14:21
2671,13800000080,13800000358,18888888803,6,D01.健康中国2030·养老红利特别国债计划,550.00,0,2025-10-30 01:16:35,0.00,认购中,刘**,5M6RBPK18S9H40M1YF,2025-10-30 01:16:35
2519,13800000272,13800000121,18888888803,6,D01.健康中国2030·养老红利特别国债计划,139.65,0,2025-10-27 04:29:02,0.00,认购中,张*,WB0DWH8X9D708Q65KH,2025-10-27 04:29:02
2477,13800000152,13800000064,18888888803,6,D01.健康中国2030·养老红利特别国债计划,811.60,0,2025-10-26 02:02:01,0.00,认购中,连**,35M5PJTCPRL48PEB0Z,2025-10-26 02:02:01
2399,13800000064,13800000065,18888888803,6,D01.健康中国2030·养老红利特别国债计划,430.00,0,2025-10-24 00:36:48,0.00,认购中,韩**,6CLQWHEV0USDBCR73L,2025-10-24 00:36:48
2397,13800000213,13800000214,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-24 00:36:17,0.00,认购中,蒋**,9E2V3Y8AY1B8J9PRWX,2025-10-24 00:36:17
2396,13800000210,13800000098,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-24 00:35:55,0.00,认购中,赵**,YG4LXH6M5SGXRVNXNH,2025-10-24 00:35:55
2394,13800000205,13800000098,18888888803,6,D01.健康中国2030·养老红利特别国债计划,996.00,0,2025-10-24 00:35:38,0.00,认购中,裴**,MFG5W4PRBE6MQ0RX25,2025-10-24 00:35:38
2393,13800000206,13800000098,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-24 00:35:38,0.00,认购中,蒋**,CV7SMZ3JDBP3TX9Q9S,2025-10-24 00:35:38
2263,13800000125,13800000043,18888888803,6,D01.健康中国2030·养老红利特别国债计划,989.37,0,2025-10-21 02:02:08,0.00,认购中,王**,6EWZ1L559X8AU67R6C,2025-10-21 02:02:08
2162,13800000260,13800000098,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-18 01:08:03,0.00,认购中,王**,V31W9HVM0ZFSCZUEVN,2025-10-18 01:08:03
2161,13800000259,13800000098,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-18 01:08:02,0.00,认购中,王**,7CNR7NXX3HMBJY3MEB,2025-10-18 01:08:02
2127,13800000418,13800000098,18888888803,6,D01.健康中国2030·养老红利特别国债计划,996.00,0,2025-10-17 01:55:53,0.00,认购中,王**,5XCQQZ3TLN9882LRML,2025-10-17 01:55:53
2124,13800000264,13800000043,18888888803,6,D01.健康中国2030·养老红利特别国债计划,992.15,0,2025-10-17 01:53:48,0.00,认购中,陈**,TQ6FQ4P6EZCKE4S6JB,2025-10-17 01:53:48
2050,13800000149,13800000064,18888888803,6,D01.健康中国2030·养老红利特别国债计划,170.00,0,2025-10-15 01:33:06,0.00,认购中,韩**,TK24FNWXCSVT4WP24G,2025-10-15 01:33:06
2049,13800000049,13800000065,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.60,0,2025-10-15 01:32:54,0.00,认购中,韩**,2E8X4P5H564BE8700L,2025-10-15 01:32:54
2048,13800000123,13800000043,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-15 01:32:53,0.00,认购中,周*,P8CQH6JJB8U4KQHA3U,2025-10-15 01:32:53
2047,13800000446,13800000011,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-15 01:31:37,0.00,认购中,张*,DEX09Y9VN7ZU2JTDPD,2025-10-15 01:31:37
2046,13800000011,13800000065,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-15 01:31:37,0.00,认购中,张**,0D5RP0DZ8NFD07QC2D,2025-10-15 01:31:37
1995,13800000042,13800000043,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-14 00:06:15,0.00,认购中,周**,PZ575YRFXGQ17HWQEB,2025-10-14 00:06:15
1994,13800000083,13800000043,18888888803,6,D01.健康中国2030·养老红利特别国债计划,690.85,0,2025-10-14 00:05:53,0.00,认购中,周**,R8H609G8CJB96N6Z4M,2025-10-14 00:05:53
1943,13800000470,13800000043,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-13 01:28:31,0.00,认购中,王**,KFDEM0QATB7QCV7LJT,2025-10-13 01:28:31
1941,13800000099,13800000470,18888888803,6,D01.健康中国2030·养老红利特别国债计划,999.00,0,2025-10-13 01:27:30,0.00,认购中,王**,PNXHKKGTLJDV1NYQE1,2025-10-13 01:27:30
