学号,姓名,成绩,成绩来源
1,编号1,80,电磁场与电磁波 (未知文件)
2,编号2,85,电磁场与电磁波 (未知文件)
3,编号3,76,电磁场与电磁波 (未知文件)
4,编号4,70,电磁场与电磁波 (未知文件)
6,编号6,78,电磁场与电磁波 (未知文件)
7,编号7,79,电磁场与电磁波 (未知文件)
8,编号8,81,电磁场与电磁波 (未知文件)
9,编号9,80,电磁场与电磁波 (未知文件)
10,编号10,78,电磁场与电磁波 (未知文件)
12,编号12,77,电磁场与电磁波 (未知文件)
13,编号13,81,电磁场与电磁波 (未知文件)
14,编号14,68,电磁场与电磁波 (未知文件)
15,编号15,75,电磁场与电磁波 (未知文件)
16,编号16,83,电磁场与电磁波 (未知文件)
17,编号17,72,电磁场与电磁波 (未知文件)
18,编号18,81,电磁场与电磁波 (未知文件)
19,编号19,73,电磁场与电磁波 (未知文件)
20,编号20,71,电磁场与电磁波 (未知文件)
21,编号21,76,电磁场与电磁波 (未知文件)
22,编号22,77,电磁场与电磁波 (未知文件)
23,编号23,79,电磁场与电磁波 (未知文件)
24,编号24,75,电磁场与电磁波 (未知文件)
25,编号25,87,电磁场与电磁波 (未知文件)
26,编号26,72,电磁场与电磁波 (未知文件)
27,编号27,68,电磁场与电磁波 (未知文件)
28,编号28,73,电磁场与电磁波 (未知文件)
29,编号29,73,电磁场与电磁波 (未知文件)
30,编号30,75,电磁场与电磁波 (未知文件)
31,编号31,71,电磁场与电磁波 (未知文件)
32,编号32,80,电磁场与电磁波 (未知文件)
33,编号33,90,电磁场与电磁波 (未知文件)
34,编号34,72,电磁场与电磁波 (未知文件)
35,编号35,68,电磁场与电磁波 (未知文件)
36,编号36,86,电磁场与电磁波 (未知文件)
37,编号37,83,电磁场与电磁波 (未知文件)
38,编号38,80,电磁场与电磁波 (未知文件)
39,编号39,87,电磁场与电磁波 (未知文件)
40,编号40,77,电磁场与电磁波 (未知文件)
41,编号41,76,电磁场与电磁波 (未知文件)
42,编号42,71,电磁场与电磁波 (未知文件)
43,编号43,83,电磁场与电磁波 (未知文件)
44,编号44,76,电磁场与电磁波 (未知文件)
45,编号45,65,电磁场与电磁波 (未知文件)
47,编号47,67,电磁场与电磁波 (未知文件)
49,编号49,80.4,电子线路CAD (未知文件)
50,编号50,76,电子线路CAD (未知文件)
51,编号51,87.2,电子线路CAD (未知文件)
52,编号52,91.2,电子线路CAD (未知文件)
53,编号53,89.7,电子线路CAD (未知文件)
54,编号54,83.4,电子线路CAD (未知文件)
55,编号55,84,电子线路CAD (未知文件)
56,编号56,87.4,电子线路CAD (未知文件)
57,编号57,68.5,电子线路CAD (未知文件)
58,编号58,92.7,电子线路CAD (未知文件)
59,编号59,86,电子线路CAD (未知文件)
60,编号60,90,电子线路CAD (未知文件)
61,编号61,81.4,电子线路CAD (未知文件)
62,编号62,75.2,电子线路CAD (未知文件)
63,编号63,87.5,电子线路CAD (未知文件)
64,编号64,81.2,电子线路CAD (未知文件)
65,编号65,74.6,电子线路CAD (未知文件)
66,编号66,86.2,电子线路CAD (未知文件)
67,编号67,89.3,电子线路CAD (未知文件)
68,编号68,85.8,电子线路CAD (未知文件)
69,编号69,84.2,电子线路CAD (未知文件)
70,编号70,84,电子线路CAD (未知文件)
71,编号71,86.3,电子线路CAD (未知文件)
72,编号72,91,电子线路CAD (未知文件)
73,编号73,89.6,电子线路CAD (未知文件)
74,编号74,74.6,电子线路CAD (未知文件)
75,编号75,81.5,电子线路CAD (未知文件)
76,编号76,89.8,电子线路CAD (未知文件)
77,编号77,85,电子线路CAD (未知文件)
78,编号78,90.9,电子线路CAD (未知文件)
79,编号79,82.2,电子线路CAD (未知文件)
80,编号80,89.2,电子线路CAD (未知文件)
81,编号81,78.2,电子线路CAD (未知文件)
82,编号82,81.5,电子线路CAD (未知文件)
83,编号83,71.6,电子线路CAD (未知文件)
84,编号84,76,电子线路CAD (未知文件)
85,编号85,76,电子线路CAD (未知文件)
86,编号86,87.1,电子线路CAD (未知文件)
87,编号87,86.5,电子线路CAD (未知文件)
88,编号88,86.1,电子线路CAD (未知文件)
89,编号89,85.7,电子线路CAD (未知文件)
90,编号90,71.9,电子线路CAD (未知文件)
91,编号91,80.6,电子线路CAD (未知文件)
92,编号92,79,电子线路CAD (未知文件)
93,编号93,76.3,电子线路CAD (未知文件)
94,编号94,81.6,电子线路CAD (未知文件)
95,编号95,74,电子线路CAD (未知文件)
96,编号96,85.5,电子线路CAD (未知文件)
97,编号97,81.7,电子线路CAD (未知文件)
98,编号98,86.7,电子线路CAD (未知文件)
,,,未找到
